structure,min_pdd_emd_to_others
oqmd-1474198,0.8147451140238944
oqmd-1443987,0.651032435
oqmd-1343728,0.5483866900000001
oqmd-1343668,0.48552175500000005
oqmd-1230655,0.36555975999999996
oqmd-4908,0.3515140867727693
oqmd-2029561,0.32860964
oqmd-1472817,0.32860964
oqmd-1343724,0.21664247
oqmd-2029839,0.19567921248538417
oqmd-2029841,0.1921543907653406
oqmd-2029842,0.1775727755
oqmd-2029840,0.15518129975
oqmd-2029844,0.15518129975
oqmd-2029562,0.13300834
oqmd-1443821,0.13300834
oqmd-2029843,0.13205677638439542
oqmd-2170474,0.13205677638439542
oqmd-2029564,0.09902454
oqmd-1442249,0.09902454
oqmd-116025,0.01969064
oqmd-2029563,0.01969064
oqmd-1223683,0.01671884
oqmd-20685,0.01671884
oqmd-20684,0.00612148
oqmd-339274,0.00454456
oqmd-1439997,0.00298255
oqmd-117131,0.00239482
oqmd-307732,0.00239482
oqmd-6958,0.00220672
oqmd-1444341,0.00131737
oqmd-328816,0.00131737
oqmd-1473257,0.00128032
oqmd-1472687,0.00114247
oqmd-1343236,0.00114247
oqmd-1479504,0.00078625125
oqmd-1479511,0.00078625125
oqmd-1106917,0.00011364
oqmd-1442030,0.00011364
