cif_name,composition,source,status,stability,stability_class,raw_value,threshold,unit,description,message
AcDy3 (1).cif,AcDy3,materialsproject,success,❌ Unstable,unstable,0.0712,0.05,eV/atom,Formation energy above convex hull,Decision from energy_above_hull_r2scan (0.0712 eV/atom)
AcDy3 (1).cif,AcDy3,alexandria,not_found,⚠️ Not found,not_found,,0.05,eV/atom,Distance to convex hull,No entries found with hull_distance <= 0.05
AcDy3 (1).cif,AcDy3,chgnet,success,❌ Unstable,unstable,1.1716,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
AcDy3 (1).cif,AcDy3,mattersim,success,❌ Unstable,unstable,0.9101,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
AcDy3.cif,AcDy3,materialsproject,success,❌ Unstable,unstable,0.0763,0.05,eV/atom,Formation energy above convex hull,Decision from energy_above_hull_r2scan (0.0763 eV/atom)
AcDy3.cif,AcDy3,alexandria,not_found,⚠️ Not found,not_found,,0.05,eV/atom,Distance to convex hull,No entries found with hull_distance <= 0.05
AcDy3.cif,AcDy3,chgnet,success,❌ Unstable,unstable,1.1719,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
AcDy3.cif,AcDy3,mattersim,success,❌ Unstable,unstable,0.9101,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
AcEr3.cif,AcEr3,materialsproject,success,❌ Unstable,unstable,0.0754,0.05,eV/atom,Formation energy above convex hull,Decision from energy_above_hull_r2scan (0.0754 eV/atom)
AcEr3.cif,AcEr3,alexandria,success,❌ Unstable,unstable,0.0728,0.05,eV/atom,Distance to convex hull,No entries under threshold; fallback hull_distance value used
AcEr3.cif,AcEr3,chgnet,success,❌ Unstable,unstable,2.71,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
AcEr3.cif,AcEr3,mattersim,success,❌ Unstable,unstable,1.8421,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Ba3As2.cif,Ba3As2,materialsproject,success,❌ Unstable,unstable,0.4142,0.05,eV/atom,Formation energy above convex hull,Decision from energy_above_hull_r2scan (0.4142 eV/atom)
Ba3As2.cif,Ba3As2,alexandria,not_found,⚠️ Not found,not_found,,0.05,eV/atom,Distance to convex hull,No entries found with hull_distance <= 0.05
Ba3As2.cif,Ba3As2,chgnet,success,❌ Unstable,unstable,2.1719,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Ba3As2.cif,Ba3As2,mattersim,success,❌ Unstable,unstable,1.8155,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Ba3AsN.cif,Ba3AsN,materialsproject,success,❌ Unstable,unstable,0.0811,0.05,eV/atom,Formation energy above convex hull,Decision from energy_above_hull_r2scan (0.0811 eV/atom)
Ba3AsN.cif,Ba3AsN,alexandria,not_found,⚠️ Not found,not_found,,0.05,eV/atom,Distance to convex hull,No entries found with hull_distance <= 0.05
Ba3AsN.cif,Ba3AsN,chgnet,success,❌ Unstable,unstable,3.2949,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Ba3AsN.cif,Ba3AsN,mattersim,success,❌ Unstable,unstable,3.0914,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Ba3AsP.cif,Ba3AsP,materialsproject,success,❌ Unstable,unstable,0.3437,0.05,eV/atom,Formation energy above convex hull,Decision from energy_above_hull_r2scan (0.3437 eV/atom)
Ba3AsP.cif,Ba3AsP,alexandria,not_found,⚠️ Not found,not_found,,0.05,eV/atom,Distance to convex hull,No entries found with hull_distance <= 0.05
Ba3AsP.cif,Ba3AsP,chgnet,success,❌ Unstable,unstable,2.8803,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Ba3AsP.cif,Ba3AsP,mattersim,success,❌ Unstable,unstable,2.2908,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
CsHo3.cif,CsHo3,materialsproject,success,❌ Unstable,unstable,0.7304,0.05,eV/atom,Formation energy above convex hull,Decision from energy_above_hull_r2scan (0.7304 eV/atom)
CsHo3.cif,CsHo3,alexandria,not_found,⚠️ Not found,not_found,,0.05,eV/atom,Distance to convex hull,No entries found with hull_distance <= 0.05
CsHo3.cif,CsHo3,chgnet,success,❌ Unstable,unstable,2.3282,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
CsHo3.cif,CsHo3,mattersim,success,❌ Unstable,unstable,2.39,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Eu3Dy.cif,Eu3Dy,materialsproject,success,❌ Unstable,unstable,0.0814,0.05,eV/atom,Formation energy above convex hull,Decision from energy_above_hull_r2scan (0.0814 eV/atom)
Eu3Dy.cif,Eu3Dy,alexandria,not_found,⚠️ Not found,not_found,,0.05,eV/atom,Distance to convex hull,No entries found with hull_distance <= 0.05
Eu3Dy.cif,Eu3Dy,chgnet,success,✅ Stable,stable,-0.5378,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Eu3Dy.cif,Eu3Dy,mattersim,success,✅ Stable,stable,-1.1902,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Eu3Ho.cif,Eu3Ho,materialsproject,success,❌ Unstable,unstable,0.0827,0.05,eV/atom,Formation energy above convex hull,Decision from energy_above_hull_r2scan (0.0827 eV/atom)
Eu3Ho.cif,Eu3Ho,alexandria,not_found,⚠️ Not found,not_found,,0.05,eV/atom,Distance to convex hull,No entries found with hull_distance <= 0.05
Eu3Ho.cif,Eu3Ho,chgnet,success,✅ Stable,stable,-0.6826,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Eu3Ho.cif,Eu3Ho,mattersim,success,✅ Stable,stable,-1.2416,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Eu3Mg.cif,Eu3Mg,materialsproject,success,✅ Stable,stable,0.0293,0.05,eV/atom,Formation energy above convex hull,Decision from energy_above_hull_r2scan (0.0293 eV/atom)
Eu3Mg.cif,Eu3Mg,alexandria,success,✅ Stable,stable,0.0332,0.05,eV/atom,Distance to convex hull,2 entries evaluated for hull_distance
Eu3Mg.cif,Eu3Mg,chgnet,success,❌ Unstable,unstable,0.0629,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Eu3Mg.cif,Eu3Mg,mattersim,success,✅ Stable,stable,-0.6123,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Eu3Tm.cif,Eu3Tm,materialsproject,success,❌ Unstable,unstable,0.0835,0.05,eV/atom,Formation energy above convex hull,Decision from energy_above_hull_r2scan (0.0835 eV/atom)
Eu3Tm.cif,Eu3Tm,alexandria,not_found,⚠️ Not found,not_found,,0.05,eV/atom,Distance to convex hull,No entries found with hull_distance <= 0.05
Eu3Tm.cif,Eu3Tm,chgnet,success,✅ Stable,stable,-0.0817,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Eu3Tm.cif,Eu3Tm,mattersim,success,✅ Stable,stable,-0.661,0.0,eV/atom,MLIP formation enthalpy per atom (ΔHf < 0 => stable),"ΔHf = E(compound) − Σ x_i E(element_i), stable if ΔHf < 0"
Eu3Zr.cif,Eu3Zr,materialsproject,success,❌ Unstable,unstable,0.3303,0.05,eV/atom,Formation energy above convex hull,Decision from energy_above_hull_r2scan (0.3303 eV/atom)
