cif_name,composition,space_group_number,space_group_symbol,materialsproject_id,stable_count,unstable_count,total_sources,consensus,error
AcDy3 (1).cif,AcDy3,139,I4/mmm,,0,3,4,❌ All sources agree: Unstable,
AcDy3.cif,AcDy3,221,Pm-3m,,0,3,4,❌ All sources agree: Unstable,
AcEr3.cif,AcEr3,221,Pm-3m,,0,4,4,❌ All sources agree: Unstable,
Ba3As2.cif,Ba3As2,221,Pm-3m,,0,3,4,❌ All sources agree: Unstable,
Ba3AsN.cif,Ba3AsN,221,Pm-3m,,0,3,4,❌ All sources agree: Unstable,
Ba3AsP.cif,Ba3AsP,221,Pm-3m,,0,3,4,❌ All sources agree: Unstable,
CsHo3.cif,CsHo3,221,Pm-3m,,0,3,4,❌ All sources agree: Unstable,
Eu3Dy.cif,Eu3Dy,194,P6_3/mmc,,2,1,4,"⚠️  Mixed opinion: 2 stable, 1 unstable",
Eu3Ho.cif,Eu3Ho,194,P6_3/mmc,,2,1,4,"⚠️  Mixed opinion: 2 stable, 1 unstable",
Eu3Mg.cif,Eu3Mg,221,Pm-3m,,3,1,4,"⚠️  Mixed opinion: 3 stable, 1 unstable",
Eu3Tm.cif,Eu3Tm,194,P6_3/mmc,,2,1,4,"⚠️  Mixed opinion: 2 stable, 1 unstable",
Eu3Zr.cif,Eu3Zr,221,Pm-3m,,2,1,4,"⚠️  Mixed opinion: 2 stable, 1 unstable",
Eu3Zr_2.cif,Eu3Zr,139,I4/mmm,,2,1,4,"⚠️  Mixed opinion: 2 stable, 1 unstable",
EuEr.cif,EuEr,187,P-6m2,,0,4,4,❌ All sources agree: Unstable,
EuTh3.cif,EuTh3,194,P6_3/mmc,,2,1,4,"⚠️  Mixed opinion: 2 stable, 1 unstable",
GdZnAsO.cif,GdZnAsO,129,P4/nmm,,4,0,4,✅ All sources agree: Stable,
HfC.cif,HfC,221,Pm-3m,,2,1,4,"⚠️  Mixed opinion: 2 stable, 1 unstable",
HfTaTiB4MoC4.cif,HfTaTiB4MoC4,2,P-1,,2,1,4,"⚠️  Mixed opinion: 2 stable, 1 unstable",
KPm3.cif,KPm3,221,Pm-3m,,0,3,4,❌ All sources agree: Unstable,
KPm3_2.cif,KPm3,139,I4/mmm,,0,3,4,❌ All sources agree: Unstable,
Lu2MgSe4.cif,Lu2MgSe4,227,Fd-3m,,4,0,4,✅ All sources agree: Stable,
Mg(ScSe2)2.cif,Mg(ScSe2)2,227,Fd-3m,,4,0,4,✅ All sources agree: Stable,
NbVB4.cif,NbVB4,191,P6/mmm,,4,0,4,✅ All sources agree: Stable,
NpS.cif,NpS,225,Fm-3m,,4,0,4,✅ All sources agree: Stable,
PtC.cif,PtC,221,Pm-3m,,0,4,4,❌ All sources agree: Unstable,
Sc15C19.cif,Sc15C19,128,P4/mnc,,4,0,4,✅ All sources agree: Stable,
Sc2BC2.cif,Sc2BC2,139,I4/mmm,,4,0,4,✅ All sources agree: Stable,
Sc2C3.cif,Sc2C3,220,I-43d,,2,1,4,"⚠️  Mixed opinion: 2 stable, 1 unstable",
Sc2ZnSe4.cif,Sc2ZnSe4,227,Fd-3m,,4,0,4,✅ All sources agree: Stable,
Sc3C4.cif,Sc3C4,128,P4/mnc,,3,0,4,✅ All sources agree: Stable,
Sc3CoC4.cif,Sc3CoC4,71,Immm,,4,0,4,✅ All sources agree: Stable,
Sc3FeC4.cif,Sc3FeC4,71,Immm,,4,0,4,✅ All sources agree: Stable,
Sc3IrC4 (1).cif,Sc3IrC4,12,C2/m,,4,0,4,✅ All sources agree: Stable,
Sc3IrC4.cif,Sc3IrC4,71,Immm,,4,0,4,✅ All sources agree: Stable,
Sc3NiC4.cif,Sc3NiC4,71,Immm,,4,0,4,✅ All sources agree: Stable,
Sc3OsC4 (1).cif,Sc3OsC4,12,C2/m,,4,0,4,✅ All sources agree: Stable,
Sc3OsC4.cif,Sc3OsC4,71,Immm,,4,0,4,✅ All sources agree: Stable,
Sc3RhC4 (1).cif,Sc3RhC4,12,C2/m,,4,0,4,✅ All sources agree: Stable,
Sc3RhC4.cif,Sc3RhC4,71,Immm,,4,0,4,✅ All sources agree: Stable,
Sc3RuC4 (1).cif,Sc3RuC4,71,Immm,,4,0,4,✅ All sources agree: Stable,
Sc3RuC4.cif,Sc3RuC4,12,C2/m,,4,0,4,✅ All sources agree: Stable,
Sc4C3.cif,Sc4C3,220,I-43d,,4,0,4,✅ All sources agree: Stable,
Sc5Re2C7.cif,Sc5Re2C7,65,Cmmm,,4,0,4,✅ All sources agree: Stable,
ScBC.cif,ScBC,194,P6_3/mmc,,4,0,4,✅ All sources agree: Stable,
ScC.cif,ScC,221,Pm-3m,,2,1,4,"⚠️  Mixed opinion: 2 stable, 1 unstable",
SmSe.cif,SmSe,186,P6_3mc,,0,3,4,❌ All sources agree: Unstable,
TaB2.cif,TaB2,191,P6/mmm,,4,0,4,✅ All sources agree: Stable,
TaVB4.cif,TaVB4,191,P6/mmm,,4,0,4,✅ All sources agree: Stable,
TbSe.cif,TbSe,186,P6_3mc,,0,3,4,❌ All sources agree: Unstable,
ThH3.cif,ThH3,139,I4/mmm,,0,3,4,❌ All sources agree: Unstable,
TiVRu2.cif,TiVRu2,225,Fm-3m,,4,0,4,✅ All sources agree: Stable,
Tm4Ir.cif,Tm4Ir,227,Fd-3m,,0,3,4,❌ All sources agree: Unstable,
ZrScTc2.cif,ZrScTc2,71,Immm,,2,1,4,"⚠️  Mixed opinion: 2 stable, 1 unstable",
